node_id,ip_address,timestamp,latency_ms,throughput_mbps,total_storage_gb,free_storage_gb,latitude,longitude,distance_km,region
dc32,10.0.0.33,2025-08-17 04:06:06,49.73,33.1,1000,516.5,53.0632907107634,-6.071271373865673,34.26,dublin_area
dc33,10.0.0.34,2025-08-17 04:06:06,7.6,41.4,1000,513.4,52.959693222801796,-5.9636969655733125,47.67,dublin_area
dc34,10.0.0.35,2025-08-17 04:06:06,45.07,47.1,1000,461.8,53.492966343609005,-6.4140980248818416,18.9,dublin_area
dc35,10.0.0.36,2025-08-17 04:06:06,38.2,66.0,1000,527.4,53.61140267665806,-5.761643149323056,43.99,dublin_area
dc36,10.0.0.37,2025-08-17 04:06:06,39.42,35.8,1000,548.4,53.697802037084315,-5.863912977185821,46.73,dublin_area
dc37,10.0.0.38,2025-08-17 04:06:06,45.93,45.5,1000,519.2,53.81553421472213,-6.213249427039319,51.88,dublin_area
dc38,10.0.0.39,2025-08-17 04:06:06,14.02,51.8,1000,514.3,53.32861598114867,-6.74161034031287,32.04,dublin_area
dc39,10.0.0.40,2025-08-17 04:06:06,24.64,42.3,1000,542.0,53.58682444415045,-6.299227540259297,26.48,dublin_area
dc40,10.0.0.41,2025-08-17 04:06:06,42.72,37.4,1000,518.8,53.64562345034166,-5.9574745251132395,38.51,dublin_area
dc41,10.0.0.42,2025-08-17 04:06:06,13.07,42.8,1000,456.6,53.2376001513874,-6.580730275161908,24.68,dublin_area
dc42,10.0.0.43,2025-08-17 04:06:06,3.6,61.4,1000,549.2,52.9273025725847,-5.974833973076662,50.69,dublin_area
dc43,10.0.0.44,2025-08-17 04:06:06,13.32,40.0,1000,491.9,52.97784021692123,-5.899559025657265,47.84,dublin_area
dc44,10.0.0.45,2025-08-17 04:06:06,33.5,32.1,1000,497.4,53.319463169036005,-6.0201943100703135,16.3,dublin_area
dc45,10.0.0.46,2025-08-17 04:06:06,10.34,41.9,1000,464.5,52.96512606058179,-6.634318154494573,49.51,dublin_area
dc46,10.0.0.47,2025-08-17 04:06:06,33.49,30.0,1000,492.4,52.991536972257975,-6.606331628945026,46.03,dublin_area
dc47,10.0.0.48,2025-08-17 04:06:06,29.68,32.5,1000,513.5,53.80689548503164,-5.830379077250056,58.21,dublin_area
dc48,10.0.0.49,2025-08-17 04:06:06,23.91,39.7,1000,461.1,53.03674612772601,-6.219170030219727,34.92,dublin_area
dc49,10.0.0.50,2025-08-17 04:06:06,31.08,39.3,1000,544.9,52.963545979232734,-6.759357178374428,54.33,dublin_area
dc50,10.0.0.51,2025-08-17 04:06:06,19.78,67.3,1000,518.8,53.24834298079769,-6.178061781542233,12.54,dublin_area
dc1,10.0.0.2,2025-08-17 04:06:36,30.18,38.4,1000,549.3,53.10896725028592,-6.272796012724076,26.79,dublin_area
dc2,10.0.0.3,2025-08-17 04:06:36,11.26,37.6,1000,467.4,53.65567121347649,-5.8943131604149075,41.75,dublin_area
dc3,10.0.0.4,2025-08-17 04:06:36,44.84,33.7,1000,537.1,53.20780360011308,-6.45457176781129,20.4,dublin_area
dc4,10.0.0.5,2025-08-17 04:06:36,10.96,36.5,1000,501.5,53.34834851002083,-5.906705418801986,23.47,dublin_area
dc5,10.0.0.6,2025-08-17 04:06:36,24.08,66.7,1000,542.6,53.71694297986103,-6.211916034106499,40.95,dublin_area
dc6,10.0.0.7,2025-08-17 04:06:36,20.66,34.2,1000,516.9,52.98981128500371,-5.8328262582009955,49.13,dublin_area
dc7,10.0.0.8,2025-08-17 04:06:36,11.69,68.1,1000,526.8,52.85622375859944,-5.886756662854834,60.28,dublin_area
dc8,10.0.0.9,2025-08-17 04:06:36,9.75,48.8,1000,515.6,53.44771885403665,-6.681558295910611,29.98,dublin_area
dc9,10.0.0.10,2025-08-17 04:06:36,38.2,63.3,1000,501.6,52.99517227143055,-5.846915937500137,48.1,dublin_area
dc10,10.0.0.11,2025-08-17 04:06:36,8.87,64.2,1000,511.4,53.416027849812174,-6.1317519085670655,11.27,dublin_area
dc11,10.0.0.12,2025-08-17 04:06:36,17.07,66.3,1000,500.7,53.25261335118784,-6.31227366868319,11.35,dublin_area
dc12,10.0.0.13,2025-08-17 04:06:36,22.21,41.1,1000,505.0,53.03877458118854,-6.391236385394884,35.67,dublin_area
dc13,10.0.0.14,2025-08-17 04:06:36,23.09,68.9,1000,456.8,53.33171786595926,-6.240507927873564,2.4,dublin_area
dc14,10.0.0.15,2025-08-17 04:06:36,10.37,60.8,1000,467.0,53.10178342325454,-5.82946393420133,39.79,dublin_area
dc15,10.0.0.16,2025-08-17 04:06:36,50.53,46.0,1000,460.4,53.78772260518171,-6.108269431833628,49.72,dublin_area
dc16,10.0.0.17,2025-08-17 04:06:36,29.89,45.8,1000,504.4,53.82413941059775,-6.201177086878559,52.89,dublin_area
dc17,10.0.0.18,2025-08-17 04:06:36,16.55,46.6,1000,491.6,53.247077826066935,-6.176635567491367,12.7,dublin_area
dc18,10.0.0.19,2025-08-17 04:06:36,43.5,58.7,1000,539.6,53.73489728932734,-6.5701967068551586,47.46,dublin_area
dc19,10.0.0.20,2025-08-17 04:06:36,17.83,66.3,1000,529.8,53.11004626675072,-5.923633389850587,34.83,dublin_area
dc20,10.0.0.21,2025-08-17 04:06:36,40.76,60.9,1000,460.7,53.75937443061439,-5.83086539662881,53.65,dublin_area
dc21,10.0.0.22,2025-08-17 04:06:36,40.72,63.5,1000,475.5,53.56619690888016,-6.344797994727779,24.7,dublin_area
dc22,10.0.0.23,2025-08-17 04:06:36,28.2,38.3,1000,498.9,53.6974596416931,-6.753732910248104,50.58,dublin_area
dc23,10.0.0.24,2025-08-17 04:06:36,48.03,57.7,1000,540.5,52.96999700956406,-6.018382833841917,45.21,dublin_area
dc24,10.0.0.25,2025-08-17 04:06:36,31.38,65.4,1000,489.9,53.46166637954792,-6.346120709028757,13.68,dublin_area
dc25,10.0.0.26,2025-08-17 04:06:36,38.37,63.1,1000,462.1,53.229506712044255,-5.796521772810442,33.6,dublin_area
dc26,10.0.0.27,2025-08-17 04:06:36,35.59,31.0,1000,523.0,53.214069608370494,-6.345038391104442,16.11,dublin_area
dc27,10.0.0.28,2025-08-17 04:06:36,29.87,43.3,1000,533.9,53.60419019478285,-6.179629208063331,28.79,dublin_area
dc28,10.0.0.29,2025-08-17 04:06:36,47.49,35.2,1000,490.2,53.29701644573177,-5.908756761873545,24.07,dublin_area
dc29,10.0.0.30,2025-08-17 04:06:36,15.19,47.1,1000,501.1,53.4979520336329,-6.031428956897308,22.39,dublin_area
dc30,10.0.0.31,2025-08-17 04:06:36,17.66,56.8,1000,543.5,53.631595438041174,-6.631087033231555,39.79,dublin_area
dc31,10.0.0.32,2025-08-17 04:06:36,31.36,36.2,1000,466.3,53.04649525246407,-6.5647004111104,39.35,dublin_area
dc32,10.0.0.33,2025-08-17 04:06:36,30.53,51.8,1000,488.9,52.92777305958946,-6.070816546153898,48.6,dublin_area
dc33,10.0.0.34,2025-08-17 04:06:36,30.46,65.8,1000,474.3,53.052039711272855,-6.681549996694347,43.4,dublin_area
dc34,10.0.0.35,2025-08-17 04:06:36,43.81,31.9,1000,476.7,52.97163659018167,-6.595042266059084,47.6,dublin_area
dc35,10.0.0.36,2025-08-17 04:06:36,18.47,67.7,1000,471.7,53.52798108769176,-6.327404411837584,20.31,dublin_area
dc36,10.0.0.37,2025-08-17 04:06:36,23.46,30.3,1000,518.3,53.41899515951076,-6.321664636375212,8.7,dublin_area
dc37,10.0.0.38,2025-08-17 04:06:36,5.44,34.6,1000,496.4,53.13640614739098,-6.432390400757881,26.35,dublin_area
dc38,10.0.0.39,2025-08-17 04:06:36,6.83,30.9,1000,499.3,53.169598406352044,-6.066022210138328,23.84,dublin_area
dc39,10.0.0.40,2025-08-17 04:06:36,14.46,70.1,1000,519.8,53.21527679429028,-6.114720588604029,17.82,dublin_area
dc40,10.0.0.41,2025-08-17 04:06:36,17.9,36.3,1000,549.5,53.40100286718117,-6.697256064241238,29.54,dublin_area
dc41,10.0.0.42,2025-08-17 04:06:36,15.55,69.4,1000,463.1,53.55299011897599,-6.14544575427598,23.84,dublin_area
dc42,10.0.0.43,2025-08-17 04:06:36,18.45,68.8,1000,514.9,53.69375858711799,-5.775505648772982,49.9,dublin_area
dc43,10.0.0.44,2025-08-17 04:06:36,8.28,51.0,1000,538.2,53.422453584813894,-6.132509527904918,11.71,dublin_area
dc44,10.0.0.45,2025-08-17 04:06:36,50.96,66.7,1000,529.3,53.00904751837072,-6.475951512651877,40.52,dublin_area
dc45,10.0.0.46,2025-08-17 04:06:36,39.34,40.1,1000,507.6,52.94358212950451,-5.9279723263912185,50.31,dublin_area
dc46,10.0.0.47,2025-08-17 04:06:36,33.09,32.1,1000,547.0,53.714696976359235,-6.655356476293938,48.25,dublin_area
dc47,10.0.0.48,2025-08-17 04:06:36,34.0,68.8,1000,539.1,53.22832344211449,-6.752075567189136,35.37,dublin_area
dc48,10.0.0.49,2025-08-17 04:06:36,15.2,50.8,1000,495.2,53.35293353678596,-5.812799494594313,29.7,dublin_area
dc49,10.0.0.50,2025-08-17 04:06:36,16.66,42.1,1000,487.2,53.414262149526664,-6.605757480521346,24.01,dublin_area
dc50,10.0.0.51,2025-08-17 04:06:36,14.6,69.2,1000,538.3,53.10046646384819,-6.184423408980926,28.18,dublin_area
dc1,10.0.0.2,2025-08-17 04:07:06,19.25,45.4,1000,483.2,53.27177956818058,-6.076834655431209,14.96,dublin_area
dc2,10.0.0.3,2025-08-17 04:07:06,44.94,64.6,1000,494.8,53.2634111267583,-6.6242045708802895,26.02,dublin_area
dc3,10.0.0.4,2025-08-17 04:07:06,19.58,52.5,1000,517.4,53.799601805824125,-6.224293726774134,50.07,dublin_area
dc4,10.0.0.5,2025-08-17 04:07:06,28.8,39.5,1000,491.4,53.00544219456689,-6.09651504103133,39.82,dublin_area
dc5,10.0.0.6,2025-08-17 04:07:06,39.12,52.8,1000,541.3,53.73912594712093,-6.107251152616597,44.46,dublin_area
dc6,10.0.0.7,2025-08-17 04:07:06,37.22,45.9,1000,472.2,53.441554633719605,-5.871052096385194,27.75,dublin_area
dc7,10.0.0.8,2025-08-17 04:07:06,9.64,68.6,1000,452.7,53.207874956142,-6.386845614456233,17.88,dublin_area
dc8,10.0.0.9,2025-08-17 04:07:06,19.05,39.0,1000,535.2,53.27882885504295,-6.424844020408139,13.48,dublin_area
dc9,10.0.0.10,2025-08-17 04:07:06,11.62,32.9,1000,478.0,53.74863654457322,-6.670313366629149,51.97,dublin_area
dc10,10.0.0.11,2025-08-17 04:07:06,45.94,34.9,1000,460.9,53.327928753801636,-6.4413389555007,12.26,dublin_area
dc11,10.0.0.12,2025-08-17 04:07:06,18.9,60.1,1000,544.6,52.89661751189857,-6.616756931156765,55.72,dublin_area
dc12,10.0.0.13,2025-08-17 04:07:06,7.07,32.8,1000,490.7,53.014220745872024,-6.708133022798528,47.78,dublin_area
dc13,10.0.0.14,2025-08-17 04:07:06,17.08,52.8,1000,522.5,52.85078545025399,-6.719573435855375,63.4,dublin_area
dc14,10.0.0.15,2025-08-17 04:07:06,17.9,42.5,1000,548.5,53.780826840794965,-6.469530216732838,49.88,dublin_area
dc15,10.0.0.16,2025-08-17 04:07:06,19.47,63.5,1000,471.0,52.97479200159651,-5.825349438289479,50.79,dublin_area
dc16,10.0.0.17,2025-08-17 04:07:06,27.43,55.4,1000,478.8,52.922310344810484,-6.389071476552248,48.3,dublin_area
dc17,10.0.0.18,2025-08-17 04:07:06,46.24,61.7,1000,498.9,53.477399910773954,-6.091990307266393,18.05,dublin_area
dc18,10.0.0.19,2025-08-17 04:07:06,17.0,46.1,1000,461.7,53.02248552148569,-6.061122071338957,38.74,dublin_area
dc19,10.0.0.20,2025-08-17 04:07:06,45.39,67.9,1000,489.6,52.964799045467984,-5.969655383363616,46.99,dublin_area
dc20,10.0.0.21,2025-08-17 04:07:06,47.62,30.4,1000,477.8,53.597741055984365,-5.831275220730743,39.58,dublin_area
dc21,10.0.0.22,2025-08-17 04:07:06,32.34,46.6,1000,520.4,53.65450939220792,-6.733960697315204,46.14,dublin_area
dc22,10.0.0.23,2025-08-17 04:07:06,25.86,39.0,1000,505.1,53.66944003712424,-6.063401068564484,37.85,dublin_area
dc23,10.0.0.24,2025-08-17 04:07:06,20.89,68.8,1000,531.6,53.621931914828245,-6.418094401969611,32.01,dublin_area
dc24,10.0.0.25,2025-08-17 04:07:06,30.66,59.6,1000,502.5,53.193928469796205,-5.947181998487429,27.09,dublin_area
dc25,10.0.0.26,2025-08-17 04:07:06,52.22,68.1,1000,517.4,53.569804260881945,-6.3966414536491545,26.08,dublin_area
dc26,10.0.0.27,2025-08-17 04:07:06,20.55,43.2,1000,533.8,53.24221230380994,-6.078934321178645,16.98,dublin_area
dc27,10.0.0.28,2025-08-17 04:07:06,47.33,53.8,1000,493.6,53.73215218114489,-6.380094791574578,43.25,dublin_area
dc28,10.0.0.29,2025-08-17 04:07:06,51.06,64.9,1000,473.5,53.30666265883766,-6.654111340101764,26.59,dublin_area
dc29,10.0.0.30,2025-08-17 04:07:06,23.1,43.2,1000,520.7,53.31535316033618,-6.573140983572236,21.12,dublin_area
dc30,10.0.0.31,2025-08-17 04:07:06,8.67,52.3,1000,539.8,53.59671595466738,-6.708343377169226,40.41,dublin_area
dc31,10.0.0.32,2025-08-17 04:07:06,14.0,68.5,1000,528.5,52.90710487981069,-6.656539843194519,55.88,dublin_area
dc32,10.0.0.33,2025-08-17 04:07:06,45.38,55.6,1000,487.2,53.337376019637865,-6.349506867601345,6.08,dublin_area
dc33,10.0.0.34,2025-08-17 04:07:06,12.63,30.7,1000,477.9,53.80633120057303,-6.109716531001902,51.73,dublin_area
dc34,10.0.0.35,2025-08-17 04:07:06,15.46,65.8,1000,535.5,53.357327347880904,-6.232226841823108,2.04,dublin_area
dc35,10.0.0.36,2025-08-17 04:07:06,27.7,47.3,1000,518.2,53.217653089659024,-6.376296697452345,16.59,dublin_area
dc36,10.0.0.37,2025-08-17 04:07:06,27.14,44.8,1000,535.0,53.523284755895126,-6.038497034790531,24.25,dublin_area
dc37,10.0.0.38,2025-08-17 04:07:06,21.05,33.0,1000,545.3,52.93514356363863,-6.327070080747218,46.32,dublin_area
dc38,10.0.0.39,2025-08-17 04:07:06,38.17,48.3,1000,535.6,53.39275522161663,-6.070901931896944,13.44,dublin_area
dc39,10.0.0.40,2025-08-17 04:07:06,21.79,44.6,1000,538.1,52.91152948652779,-6.109191751209375,49.77,dublin_area
dc40,10.0.0.41,2025-08-17 04:07:06,49.7,66.3,1000,464.0,52.98761897447062,-6.639150942522272,47.54,dublin_area
dc41,10.0.0.42,2025-08-17 04:07:06,47.51,37.1,1000,483.9,53.52399443450973,-6.306391546585975,19.61,dublin_area
dc42,10.0.0.43,2025-08-17 04:07:06,37.52,36.4,1000,466.2,52.907093203652714,-6.3793604275085425,49.86,dublin_area
dc43,10.0.0.44,2025-08-17 04:07:06,17.67,69.6,1000,484.1,53.64688547983402,-5.88984643556962,41.13,dublin_area
dc44,10.0.0.45,2025-08-17 04:07:06,31.74,39.2,1000,495.7,53.743071138043945,-6.600706751143394,49.17,dublin_area
dc45,10.0.0.46,2025-08-17 04:07:06,10.21,64.5,1000,497.5,52.95258251507698,-6.605870545089767,49.82,dublin_area
dc46,10.0.0.47,2025-08-17 04:07:06,39.11,53.6,1000,521.8,53.53611920469079,-6.112637843820762,22.91,dublin_area
dc47,10.0.0.48,2025-08-17 04:07:06,11.57,53.2,1000,531.3,53.59876768979404,-6.0672719767379855,30.49,dublin_area
dc48,10.0.0.49,2025-08-17 04:07:06,47.9,62.2,1000,475.9,53.3725541204177,-6.238123966123167,2.93,dublin_area
dc49,10.0.0.50,2025-08-17 04:07:06,9.03,33.7,1000,484.7,53.64811766041171,-6.488419551557142,36.44,dublin_area
dc50,10.0.0.51,2025-08-17 04:07:06,22.05,48.3,1000,528.1,52.85805522048589,-6.48620439872916,56.72,dublin_area
dc1,10.0.0.2,2025-08-17 04:07:36,47.03,42.1,1000,513.8,52.94070950268882,-6.6090404568922745,51.09,dublin_area
dc2,10.0.0.3,2025-08-17 04:07:36,43.63,46.8,1000,481.4,53.27072059262444,-6.288192936764052,8.99,dublin_area
dc3,10.0.0.4,2025-08-17 04:07:36,39.88,49.9,1000,498.4,53.1169952829686,-6.161333678424522,26.71,dublin_area
dc4,10.0.0.5,2025-08-17 04:07:36,26.88,34.4,1000,496.5,53.22211029780383,-6.428061318786762,18.05,dublin_area
dc5,10.0.0.6,2025-08-17 04:07:36,42.28,63.1,1000,522.8,53.592683023477534,-6.393548035810828,28.41,dublin_area
dc6,10.0.0.7,2025-08-17 04:07:36,16.47,51.8,1000,487.2,53.750577692328086,-6.4737832189454485,46.74,dublin_area
dc7,10.0.0.8,2025-08-17 04:07:36,40.44,47.1,1000,485.3,53.12109539712663,-6.008283024455928,30.46,dublin_area
dc8,10.0.0.9,2025-08-17 04:07:36,20.16,60.8,1000,501.8,53.783795687154026,-5.927999213609874,53.01,dublin_area
dc9,10.0.0.10,2025-08-17 04:07:36,10.74,34.1,1000,501.2,53.13703228076438,-6.115513528965701,25.55,dublin_area
dc10,10.0.0.11,2025-08-17 04:07:36,46.26,64.7,1000,485.1,53.14578910492549,-6.201899777424879,23.02,dublin_area
dc11,10.0.0.12,2025-08-17 04:07:36,18.25,46.6,1000,500.5,53.172323792489834,-6.300197532219361,19.91,dublin_area
dc12,10.0.0.13,2025-08-17 04:07:36,24.39,55.5,1000,487.4,53.024493957649355,-5.977458644190026,40.79,dublin_area
dc13,10.0.0.14,2025-08-17 04:07:36,34.31,65.3,1000,482.2,53.41667162965688,-5.961928024442872,21.14,dublin_area
dc14,10.0.0.15,2025-08-17 04:07:36,39.05,52.3,1000,521.3,53.47135195981579,-6.377762188959306,15.6,dublin_area
dc15,10.0.0.16,2025-08-17 04:07:36,9.76,45.5,1000,532.4,53.3674276178776,-5.945579124136379,20.98,dublin_area
dc16,10.0.0.17,2025-08-17 04:07:36,36.55,63.4,1000,501.8,53.02265289713083,-6.357594697540704,36.95,dublin_area
dc17,10.0.0.18,2025-08-17 04:07:36,26.99,56.0,1000,479.1,53.371102871264206,-6.34584132903452,6.15,dublin_area
dc18,10.0.0.19,2025-08-17 04:07:36,29.24,57.1,1000,455.2,53.09858825513616,-5.961869153185747,34.28,dublin_area
dc19,10.0.0.20,2025-08-17 04:07:36,35.52,41.0,1000,451.6,53.54204106100216,-6.237496213656427,21.43,dublin_area
dc20,10.0.0.21,2025-08-17 04:07:36,48.05,45.7,1000,473.9,52.97014383973422,-6.067694848306534,44.13,dublin_area
dc21,10.0.0.22,2025-08-17 04:07:36,33.11,55.8,1000,538.8,53.081216200579334,-6.200822576002298,30.13,dublin_area
dc22,10.0.0.23,2025-08-17 04:07:36,45.43,61.8,1000,471.9,53.13995113005479,-6.005801889152781,28.83,dublin_area
dc23,10.0.0.24,2025-08-17 04:07:36,20.23,63.3,1000,486.7,53.10534951702841,-6.65384674436276,37.75,dublin_area
dc24,10.0.0.25,2025-08-17 04:07:36,35.4,36.9,1000,465.0,53.726418939005335,-5.91977228472011,47.54,dublin_area
dc25,10.0.0.26,2025-08-17 04:07:36,45.92,65.2,1000,468.8,53.20801120377186,-6.004608454869231,23.19,dublin_area
dc26,10.0.0.27,2025-08-17 04:07:36,45.5,47.9,1000,538.2,53.519282027579024,-5.823835334290506,34.51,dublin_area
dc27,10.0.0.28,2025-08-17 04:07:36,35.94,65.6,1000,450.3,52.89821946905207,-5.778386691706899,59.63,dublin_area
dc28,10.0.0.29,2025-08-17 04:07:36,17.58,55.5,1000,506.7,52.90202255078623,-6.262256223646825,49.79,dublin_area
dc29,10.0.0.30,2025-08-17 04:07:36,51.31,58.6,1000,549.0,53.524603022636434,-5.887918822452519,31.4,dublin_area
dc30,10.0.0.31,2025-08-17 04:07:36,17.76,52.2,1000,519.7,53.635621722286636,-6.163042254297192,32.43,dublin_area
dc31,10.0.0.32,2025-08-17 04:07:36,9.12,44.5,1000,485.6,52.975937184970654,-6.426620742207204,43.02,dublin_area
dc32,10.0.0.33,2025-08-17 04:07:36,30.48,59.8,1000,509.6,53.23268347903601,-5.976960054967543,22.9,dublin_area
dc33,10.0.0.34,2025-08-17 04:07:36,21.5,61.5,1000,526.3,53.247545884274835,-6.32487882006165,12.15,dublin_area
dc34,10.0.0.35,2025-08-17 04:07:36,43.43,41.2,1000,481.8,53.778578899686096,-6.75445033055943,57.78,dublin_area
dc35,10.0.0.36,2025-08-17 04:07:36,18.86,37.2,1000,500.4,52.89529892378496,-6.21669528260991,50.62,dublin_area
dc36,10.0.0.37,2025-08-17 04:07:36,11.69,60.9,1000,542.8,53.723086909359985,-6.004388339291477,44.82,dublin_area
dc37,10.0.0.38,2025-08-17 04:07:36,8.06,47.9,1000,490.5,53.82604956233539,-6.305081434409948,53.04,dublin_area
dc38,10.0.0.39,2025-08-17 04:07:36,38.53,49.8,1000,515.5,53.246763458908035,-6.1789940666869825,12.67,dublin_area
dc39,10.0.0.40,2025-08-17 04:07:36,42.23,62.2,1000,484.9,53.13673704552889,-6.373433425771996,24.86,dublin_area
dc40,10.0.0.41,2025-08-17 04:07:36,32.38,32.2,1000,457.2,53.56453509158625,-5.794286236804274,39.01,dublin_area
dc41,10.0.0.42,2025-08-17 04:07:36,24.07,48.1,1000,493.9,53.294709171358825,-6.002848052833312,18.16,dublin_area
dc42,10.0.0.43,2025-08-17 04:07:36,29.83,49.3,1000,478.5,53.55422443778282,-6.3496149646398745,23.49,dublin_area
dc43,10.0.0.44,2025-08-17 04:07:36,13.68,51.6,1000,465.6,53.02926701591188,-6.636320818462078,43.57,dublin_area
dc44,10.0.0.45,2025-08-17 04:07:36,21.25,55.4,1000,533.1,53.24299706544459,-6.134354922360631,14.53,dublin_area
dc45,10.0.0.46,2025-08-17 04:07:36,32.63,58.6,1000,492.8,53.35177059105915,-5.936438828505399,21.5,dublin_area
dc46,10.0.0.47,2025-08-17 04:07:36,24.54,33.4,1000,461.7,53.596679087459904,-5.848752478252194,38.67,dublin_area
dc47,10.0.0.48,2025-08-17 04:07:36,21.54,61.1,1000,538.7,53.28991175311309,-5.921351616173149,23.48,dublin_area
dc48,10.0.0.49,2025-08-17 04:07:36,31.45,36.2,1000,496.4,53.21390476605808,-6.166558186830068,16.35,dublin_area
dc49,10.0.0.50,2025-08-17 04:07:36,44.55,66.0,1000,459.8,53.71687187170965,-6.037224500491398,43.4,dublin_area
dc50,10.0.0.51,2025-08-17 04:07:36,41.91,65.6,1000,453.8,53.261968354614666,-6.5344247844211845,20.67,dublin_area
dc1,10.0.0.2,2025-08-17 04:08:06,37.94,31.3,1000,511.8,52.94816382810954,-6.315058563460431,44.81,dublin_area
dc2,10.0.0.3,2025-08-17 04:08:06,39.99,34.9,1000,510.1,53.68746286889457,-6.111943092936617,38.81,dublin_area
dc3,10.0.0.4,2025-08-17 04:08:06,8.43,67.1,1000,471.3,53.58599493099008,-6.001650818479085,31.35,dublin_area
dc4,10.0.0.5,2025-08-17 04:08:06,10.3,50.0,1000,495.9,53.03808697421131,-6.458901952795614,37.1,dublin_area
dc5,10.0.0.6,2025-08-17 04:08:06,33.57,56.2,1000,531.5,52.892990027764014,-6.385163241265529,51.47,dublin_area
dc6,10.0.0.7,2025-08-17 04:08:06,28.83,31.8,1000,450.9,53.761363547618984,-6.71087250736129,54.59,dublin_area
